,Workload,ReplacementPolicy,IPC,LLC_Load_Access,LLC_Load_Hit,LLC_Load_Miss,LLC_Load_MPKI,LLC_Miss_Latency,L2C_Load_Access,L2C_Load_Hit,L2C_Load_Miss,L2C_Load_MPKI,L2C_Miss_Latency,L1D_Load_Access,L1D_Load_Hit,L1D_Load_Miss,L1D_Load_MPKI,L1D_Miss_Latency
32,pr-10,drrip,0.0730639,6542403.0,3906246.0,2636157.0,52.72314,160.639,9098102.0,2555699.0,6542403.0,130.84806,85.7312,17642137.0,8544035.0,9098102.0,181.96204,72.5942
33,pr-14,drrip,0.0735894,6495858.0,3902734.0,2593124.0,51.86248,161.311,9103214.0,2607356.0,6495858.0,129.91716,85.3996,17622878.0,8519663.0,9103215.0,182.0643,71.8889
34,pr-3,drrip,0.0739124,6499476.0,3909129.0,2590347.0,51.80694,160.681,9079470.0,2579994.0,6499476.0,129.98952,85.0426,17622524.0,8543054.0,9079470.0,181.5894,71.8296
35,pr-5,drrip,0.0738642,6485306.0,3891467.0,2593839.0,51.87678,160.644,9065150.0,2579844.0,6485306.0,129.70612,85.2552,17618019.0,8552869.0,9065150.0,181.303,71.9414
36,sssp-10,drrip,0.340505,1932081.0,1011979.0,920102.0,18.40204,191.053,2392288.0,460207.0,1932081.0,38.64162,114.249,9451745.0,7059455.0,2392290.0,47.8458,99.1161
37,sssp-14,drrip,0.338489,1932915.0,1010572.0,922343.0,18.44686,190.735,2384600.0,451685.0,1932915.0,38.6583,114.31,9726150.0,7341545.0,2384605.0,47.6921,99.4659
38,sssp-3,drrip,0.332889,1926510.0,988484.0,938026.0,18.76052,191.144,2346873.0,420362.0,1926511.0,38.53022,116.421,10984667.0,8637786.0,2346881.0,46.93762,102.132
39,sssp-5,drrip,0.340021,1924062.0,1009157.0,914905.0,18.2981,190.818,2391640.0,467577.0,1924063.0,38.48126,114.063,9446450.0,7054804.0,2391646.0,47.83292,98.596
40,bc-0,dummy_hits_15_30,0.205108,3729847.0,2403478.0,1326369.0,26.52738,170.865,4173816.0,443969.0,3729847.0,74.59694,94.0693,10349248.0,6175432.0,4173816.0,83.47632,95.2491
41,bc-12,dummy_hits_15_30,0.209832,3676758.0,2382173.0,1294585.0,25.8917,165.448,4171417.0,494658.0,3676759.0,73.53518,94.6556,11644517.0,7473100.0,4171417.0,83.42834,94.6239
42,bc-3,dummy_hits_15_30,0.224533,3624864.0,2394737.0,1230127.0,24.60254,184.041,4334811.0,709947.0,3624864.0,72.49728,91.8211,9425604.0,5090793.0,4334811.0,86.69622,88.0752
43,bc-5,dummy_hits_15_30,0.282181,3628496.0,2395800.0,1232696.0,24.65392,257.852,3944975.0,316455.0,3628520.0,72.5704,140.087,10043521.0,6098545.0,3944976.0,78.89952,140.283
44,bfs-10,dummy_hits_15_30,0.243797,901076.0,42229.0,858847.0,17.17694,148.321,2177689.0,1276613.0,901076.0,18.02152,162.834,9285887.0,7108199.0,2177688.0,43.55376,78.3764
45,bfs-14,dummy_hits_15_30,0.280222,835271.0,49525.0,785746.0,15.71492,142.305,1157331.0,322060.0,835271.0,16.70542,155.089,7323766.0,6166442.0,1157324.0,23.14648,122.66
46,bfs-3,dummy_hits_15_30,0.240493,902381.0,46824.0,855557.0,17.11114,147.049,1596072.0,693691.0,902381.0,18.04762,160.837,8427387.0,6831319.0,1596068.0,31.92136,101.786
